"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 12 19:51:08 CST 2025","Wed Nov 12 19:51:37 CST 2025","28722","testcase","test_Dashboard_OVERVIEW_Home","","","","test_Dashboard_OVERVIEW_Home",""
"passed","Wed Nov 12 20:01:37 CST 2025","Wed Nov 12 20:02:12 CST 2025","35040","testcase","test_HomePage_redirect_Community","","","","test_HomePage_redirect_Community",""
"passed","Wed Nov 12 19:52:11 CST 2025","Wed Nov 12 19:52:52 CST 2025","41048","testcase","test_Dashboard_PersonalCenter_Billing","","","","test_Dashboard_PersonalCenter_Billing",""
"passed","Wed Nov 12 20:02:42 CST 2025","Wed Nov 12 20:03:13 CST 2025","31752","testcase","test_HomePage_redirect_Docs","","","","test_HomePage_redirect_Docs",""
"passed","Wed Nov 12 20:06:11 CST 2025","Wed Nov 12 20:06:31 CST 2025","19427","testcase","test_User_Login_Failure_IncorrestAccount","","","","test_User_Login_Failure_IncorrestAccount",""
"passed","Wed Nov 12 20:06:49 CST 2025","Wed Nov 12 20:07:19 CST 2025","29863","testcase","test_User_Login_Success","","","","test_User_Login_Success",""
"passed","Wed Nov 12 19:58:57 CST 2025","Wed Nov 12 20:00:06 CST 2025","69130","testcase","test_Dashboard_TESTING_TestLists_CreatList","","","","test_Dashboard_TESTING_TestLists",""
"passed","Wed Nov 12 20:03:13 CST 2025","Wed Nov 12 20:03:44 CST 2025","30695","testcase","test_HomePage_redirect_Pricing","","","","test_HomePage_redirect_Pricing",""
"passed","Wed Nov 12 20:05:00 CST 2025","Wed Nov 12 20:05:28 CST 2025","27904","testcase","test_HomePage_redirect_Solution_FrontendTesting","","","","test_HomePage_redirect_Solution_FrontendTesting",""
"passed","Wed Nov 12 19:53:26 CST 2025","Wed Nov 12 19:54:00 CST 2025","34143","testcase","test_Dashboard_PersonalCenter_SignOut","","","","test_Dashboard_PersonalCenter_SignOut",""
"passed","Wed Nov 12 20:02:12 CST 2025","Wed Nov 12 20:02:42 CST 2025","29557","testcase","test_HomePage_redirect_ContactUs","","","","test_HomePage_redirect_ContactUs",""
"passed","Wed Nov 12 19:51:37 CST 2025","Wed Nov 12 19:52:11 CST 2025","33422","testcase","test_Dashboard_OVERVIEW_MCPTests","","","","test_Dashboard_OVERVIEW_MCPTests",""
"passed","Wed Nov 12 19:52:52 CST 2025","Wed Nov 12 19:53:26 CST 2025","34374","testcase","test_Dashboard_PersonalCenter_Profile","","","","test_Dashboard_PersonalCenter_Profile",""
"passed","Wed Nov 12 20:04:34 CST 2025","Wed Nov 12 20:05:00 CST 2025","26224","testcase","test_HomePage_redirect_Solution_DataTesting","","","","test_HomePage_redirect_Solution_DataTesting",""
"passed","Wed Nov 12 20:08:22 CST 2025","Wed Nov 12 20:08:48 CST 2025","26698","testcase","test_User_Registration_PasswordRule _Errors","","","","test_User_Registration_Success",""
"passed","Wed Nov 12 20:07:53 CST 2025","Wed Nov 12 20:08:22 CST 2025","28267","testcase","test_User_Registration_PasswordConfirmationPasswordDifferent_Errors","","","","test_User_Registration_Success",""
"passed","Wed Nov 12 19:54:00 CST 2025","Wed Nov 12 19:54:45 CST 2025","44978","testcase","test_Dashboard_SETTINGS_APIKeys","","","","test_Dashboard_SETTINGS_APIKeys",""
"passed","Wed Nov 12 20:05:28 CST 2025","Wed Nov 12 20:06:11 CST 2025","43515","testcase","test_HomePage_redirect_Solution_MCPServer","","","","test_HomePage_redirect_Solution_MCPServer",""
